y_category,precision,recall,f1_score,support
0,0.6313559322033898,0.6535087719298246,0.6422413793103449,228.0
1,0.5918367346938775,0.5087719298245614,0.5471698113207547,57.0
2,0.3181818181818182,0.1728395061728395,0.224,81.0
3,0.49572649572649574,0.4915254237288136,0.49361702127659574,118.0
4,0.36470588235294116,0.3875,0.37575757575757573,80.0
5,0.4489795918367347,0.2682926829268293,0.33587786259541985,82.0
6,0.2903225806451613,0.2109375,0.24434389140271492,128.0
7,0.3333333333333333,0.16455696202531644,0.22033898305084745,79.0
8,0.5434782608695652,0.30864197530864196,0.3937007874015748,81.0
9,0.37037037037037035,0.17857142857142858,0.24096385542168675,56.0
A,0.0,0.0,0.0,4.0
B,0.6713286713286714,0.8275862068965517,0.7413127413127413,116.0
C,0.8285714285714286,0.7073170731707317,0.7631578947368421,41.0
D,0.527027027027027,0.582089552238806,0.5531914893617021,67.0
E,0.5039370078740157,0.64,0.5638766519823789,100.0
F,0.6190476190476191,0.639344262295082,0.6290322580645161,61.0
G,0.38181818181818183,0.4883720930232558,0.42857142857142855,43.0
H,0.5,0.7241379310344828,0.5915492957746479,29.0
I,0.6153846153846154,0.6486486486486487,0.631578947368421,74.0
J,0.40425531914893614,0.40425531914893614,0.40425531914893614,47.0
K,0.5698924731182796,0.6973684210526315,0.6272189349112426,76.0
L,0.4074074074074074,0.5,0.4489795918367347,22.0
M,0.647887323943662,0.7931034482758621,0.7131782945736435,58.0
N,0.5594405594405595,0.7476635514018691,0.64,107.0
O,0.5250737463126843,0.5913621262458472,0.55625,301.0
P,0.8333333333333334,0.75,0.7894736842105263,20.0
Q,0.35294117647058826,0.41379310344827586,0.38095238095238093,29.0
R,0.5913978494623656,0.7638888888888888,0.6666666666666666,72.0
S,0.7333333333333333,0.7857142857142857,0.7586206896551724,14.0
T,0.5,0.21428571428571427,0.3,14.0
U,1.0,0.75,0.8571428571428571,4.0
V,0.4423076923076923,0.23469387755102042,0.30666666666666664,98.0
W,0.0,0.0,0.0,1.0
X,0.0,0.0,0.0,2.0
Y,0.5,0.42857142857142855,0.46153846153846156,7.0
Z,0.7161125319693095,0.8163265306122449,0.7629427792915532,343.0
