version_name,preprocessing_variant,ngram_range,class_weight,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,log_loss
v01_tfidf_char_logreg,required_clean,3-5,none,0.5226277372262774,0.4025542625966816,0.4949429085358344,0.46982667674386913,0.3819121128530785,1.7105482672481027
v01_tfidf_char_logreg,lowercase,3-5,none,0.5226277372262774,0.4025542625966816,0.4949429085358344,0.46982667674386913,0.3819121128530785,1.7105482672481027
v01_tfidf_char_logreg,required_clean,2-6,none,0.5218978102189781,0.4060094633794459,0.49407750723648064,0.47032626792886834,0.38529439172603563,1.7096786175886927
v01_tfidf_char_logreg,lowercase,2-6,none,0.5218978102189781,0.4060094633794459,0.49407750723648064,0.47032626792886834,0.38529439172603563,1.7096786175886927
v01_tfidf_char_logreg,required_clean,2-4,none,0.5178832116788321,0.4031385505567418,0.48897750702674203,0.4660137832661834,0.3832555898267215,1.7039327175452257
v01_tfidf_char_logreg,lowercase,2-4,none,0.5178832116788321,0.4031385505567418,0.48897750702674203,0.4660137832661834,0.3832555898267215,1.7039327175452257
v01_tfidf_char_logreg,required_clean,3-5,balanced,0.4978102189781022,0.45563586973385856,0.4948967236380598,0.42519040382350287,0.5491950400770709,1.9289334176997186
v01_tfidf_char_logreg,lowercase,3-5,balanced,0.4978102189781022,0.45563586973385856,0.4948967236380598,0.42519040382350287,0.5491950400770709,1.9289334176997186
v01_tfidf_char_logreg,required_clean,2-6,balanced,0.49452554744525545,0.45407434447875633,0.4900945345931062,0.42261647638370325,0.544934106910114,1.9279435512685987
v01_tfidf_char_logreg,lowercase,2-6,balanced,0.49452554744525545,0.45407434447875633,0.4900945345931062,0.42261647638370325,0.544934106910114,1.9279435512685987
v01_tfidf_char_logreg,required_clean,2-4,balanced,0.48686131386861314,0.44878042310014227,0.48279785849964757,0.41679232285892226,0.5433333504391303,1.9232991424338066
v01_tfidf_char_logreg,lowercase,2-4,balanced,0.48686131386861314,0.44878042310014227,0.48279785849964757,0.41679232285892226,0.5433333504391303,1.9232991424338066
