method,retrieval_index,analyzer,ngram_range,k,accuracy,macro_f1,weighted_f1
train_literal_char_wb_3-5_k1,training_literals,char_wb,3-5,1,0.49744525547445256,0.46278856539912183,0.49611957322951167
train_literal_char_wb_3-5_k3,training_literals,char_wb,3-5,3,0.481021897810219,0.42758096397338247,0.4751234592883174
train_literal_char_wb_3-5_k5,training_literals,char_wb,3-5,5,0.47335766423357667,0.42266330051395334,0.4647967219205447
train_literal_word_1-2_k1,training_literals,word,1-2,1,0.458029197080292,0.42431802071248376,0.46410076329264893
train_literal_word_1-2_k5,training_literals,word,1-2,5,0.44416058394160585,0.39332570207660017,0.44616457376949326
train_literal_word_1-2_k3,training_literals,word,1-2,3,0.42956204379562046,0.38081309726265644,0.43535609860164104
icd_description_char_wb_3-5_k1,icd_descriptions,char_wb,3-5,1,0.33138686131386863,0.248032382135319,0.28182574741326233
icd_description_word_1-2_k1,icd_descriptions,word,1-2,1,0.2697080291970803,0.24025573850981788,0.25669477878212626
