version_name,ngram_range,classifier,min_df,sublinear_tf,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,log_loss
v02_tfidf_word_svm,1-1,linear_svc,1,True,0.5200729927007299,0.47419647174366997,0.5140184147516037,0.5025025781647283,0.4657124066183857,
v02_tfidf_word_svm,1-2,linear_svc,1,True,0.5186131386861313,0.481495112919732,0.514672182394193,0.5113310368014298,0.4717582852324688,
v02_tfidf_word_svm,1-3,linear_svc,1,True,0.5175182481751824,0.4779057983595096,0.5132417154000867,0.5059167279526395,0.4692494463327342,
v02_tfidf_word_svm,1-1,logreg,1,True,0.5051094890510949,0.38814767025442626,0.4780730144404267,0.48157982719643755,0.35750961862823144,1.9045790678260386
v02_tfidf_word_svm,1-1,linear_svc,2,True,0.5010948905109489,0.47194503660976966,0.498712012857492,0.5110963670166441,0.47297721963578454,
v02_tfidf_word_svm,1-3,linear_svc,2,True,0.5003649635036497,0.4757282720077055,0.5028845690704538,0.5127950350838096,0.4755219146549442,
v02_tfidf_word_svm,1-2,linear_svc,2,True,0.4996350364963504,0.47444923424279956,0.502271227772514,0.5128183526823498,0.4734088947925488,
v02_tfidf_word_svm,1-2,logreg,1,True,0.49525547445255474,0.3723418815317388,0.4662865046587437,0.48590725659317724,0.3402702608335318,1.9846802360133595
v02_tfidf_word_svm,1-3,logreg,1,True,0.4930656934306569,0.36488820824608614,0.46313692419013286,0.4580842613501707,0.33381794626540545,2.003334976769049
v02_tfidf_word_svm,1-1,logreg,2,True,0.4894160583941606,0.3817831429783134,0.46301152110781185,0.4823940605143951,0.34818329056643954,1.9065904629299977
v02_tfidf_word_svm,1-2,logreg,2,True,0.48576642335766423,0.379320002742928,0.46017803234414034,0.49378768489304176,0.34206145186063047,1.952454709924543
v02_tfidf_word_svm,1-3,logreg,2,True,0.48394160583941603,0.3783809203855007,0.4585301636750586,0.4925109520535716,0.3411023352306413,1.9602312633731311
