model,accuracy,macro_f1,weighted_f1
v00_majority_baseline,0.1251824817518248,0.006180848380005046,0.027854421823467996
v01_tfidf_char_logreg,0.5226277372262774,0.4025542625966816,0.4949429085358344
v02_tfidf_word_svm,0.5200729927007299,0.47419647174366997,0.5140184147516037
v03_similarity_retrieval_baseline,0.49744525547445256,0.46278856539912183,0.49611957322951167
