dataset,rows,mean,p50,p75,p90,p95,p99,max,recommended_default_max_length,tokenizer
train,13700,5.615766423357664,5,6,8,9,12,24,32,PlanTL-GOB-ES/roberta-base-biomedical-clinical-es
leaderboard,6667,5.655767211639418,5,7,8,9,12,20,32,PlanTL-GOB-ES/roberta-base-biomedical-clinical-es
