y_category,rank,char_ngram,coefficient
0,1,tomi,1.747493921857192
0,2,tomia,1.6882330930023544
0,3,tom,1.6588269612578561
0,4,omia,1.6101645041336217
0,5,omia ,1.5810056341096956
0,6, da ,1.5559599550333267
0,7, da,1.442417760756087
0,8,omi,1.419443506018228
0,9,ctom,1.357667469167962
0,10,ectom,1.357667469167962
0,11, iz,1.3445789374340544
0,12, li,1.3005531686658107
0,13,al ,1.2809667443426356
0,14,ctomi,1.2767798382592415
0,15,izq,1.2714677100629372
0,16, izq,1.2714677100629372
0,17,bio,1.2707157127358686
0,18,ecto,1.2229559477893777
0,19,aje ,1.1798151611508247
0,20,je ,1.1798151611508247
1,1, ca ,2.12842936936119
1,2, ca,1.7706933685279624
1,3, mt,1.6103029086066318
1,4, neo,1.473922519895331
1,5, mtx,1.4388440309416028
1,6,mtx,1.4388440309416028
1,7,mtx ,1.4388440309416028
1,8, mtx ,1.4388440309416028
1,9,tx ,1.4197829095330867
1,10, amni,1.3487858524614882
1,11, amn,1.33864646735649
1,12,las,1.207535245046792
1,13,neo,1.177948944271552
1,14,legra,1.1778318343246008
1,15,egr,1.1778318343246008
1,16,egra,1.1778318343246008
1,17, legr,1.1778318343246008
1,18,egrad,1.1778318343246008
1,19,legr,1.1778318343246008
1,20, leg,1.1704702962398699
2,1,emia,2.3079687806464957
2,2,emi,2.2175869757331013
2,3,emia ,2.190709693192119
2,4, dm,2.1890146846243415
2,5,mia,1.7087115330056664
2,6,mia ,1.6459568471430728
2,7,dm ,1.6146825222327783
2,8, dm ,1.6146825222327783
2,9,oma,1.1916833604972876
2,10,nemi,1.116655566750883
2,11,ioma,1.106865390321736
2,12,iom,1.0875314054300893
2,13,nem,1.0782038956709217
2,14,in ,1.012967095194627
2,15,ipo,1.0047098760139463
2,16,anemi,0.9985824968078749
2,17,anem,0.9865249541680047
2,18, anem,0.9865249541680047
2,19,eni,0.9859832780492662
2,20,nemia,0.9797696860690718
3,1,na ,1.6553552852585012
3,2,pia ,1.3494564106061366
3,3,pia,1.3220565836856604
3,4,ina ,1.248073945246514
3,5,anti,1.2358988174295729
3,6, anti,1.2358988174295729
3,7,nti,1.2224259393727277
3,8,vado,1.1166644307417788
3,9,dura,1.1125955372260576
3,10,dur,1.099450004431575
3,11,ch ,1.0451766605589021
3,12,vad,1.0424357726344684
3,13, mi,1.0249891465650016
3,14,ina,0.985740759396495
3,15, ant,0.9714894315246003
3,16, an,0.9675957416863687
3,17,avado,0.9658407467757999
3,18, lav,0.9658407467757999
3,19,avad,0.9658407467757999
3,20, lava,0.9658407467757999
4,1, as,1.172523223274363
4,2,denec,1.1291493635426275
4,3,adene,1.1291493635426275
4,4,fa ,1.1052829857543196
4,5,enec,1.087730388876375
4,6,enect,1.087730388876375
4,7,dene,1.084757278042629
4,8,iop,1.0544058914822434
