epoch,train_loss,val_loss,val_accuracy,macro_f1,weighted_f1
1,2.971231288631467,2.3376002402201186,0.41204379562043797,0.18776192652668977,0.3298325003794878
2,2.123349820088296,1.7942295147554719,0.49598540145985404,0.293025454600337,0.42714853774906353
3,1.7082714566349113,1.577375953040854,0.5240875912408759,0.3337016577846011,0.46127409779375267
4,1.4728286978102079,1.451030653062528,0.539051094890511,0.3788913382676447,0.4887645810167627
5,1.287385623124394,1.387695859992591,0.5437956204379562,0.4175383909399357,0.5168336305621138
6,1.153959804033711,1.3423075608093373,0.5616788321167884,0.4527242800234546,0.5305551870688813
7,1.0384609144099437,1.3446769267103098,0.5635036496350365,0.4725628591008082,0.5365629679762924
8,0.9495340094949207,1.3057473788296219,0.5613138686131387,0.4849915164032844,0.5441382606111581
9,0.8663061766728868,1.336133828824454,0.5594890510948906,0.49220046570112913,0.545355915436045
10,0.8053262973353811,1.327770445468652,0.5693430656934306,0.49432945894700203,0.5543466521666386
11,0.7513693054227063,1.3523286271269304,0.5598540145985401,0.49893773252914436,0.5469491661002873
12,0.6948626129296575,1.371302004104113,0.5562043795620438,0.4930681957010397,0.5458990547747807
13,0.652669097124225,1.401244876680583,0.5682481751824817,0.4960649134631101,0.5553772928610843
14,0.6166679879174616,1.428939066838174,0.5474452554744526,0.48988332489663083,0.5421785930993067
15,0.5835614517657426,1.460675664713783,0.5514598540145985,0.4896436653160362,0.5453824181424949
16,0.5492244804862642,1.4963092556835091,0.55,0.48609819578516233,0.5412769402291184
17,0.5321288757950721,1.5279272255236216,0.5441605839416058,0.4898585556483164,0.537269363416067
18,0.4987708965792273,1.58245922527174,0.541970802919708,0.492113501014425,0.5371667491015722
19,0.4796057710682389,1.5860092377140573,0.5408759124087591,0.4742515315798042,0.5329408335885379
20,0.46896037228786164,1.6153907347769634,0.5427007299270074,0.4950071760987178,0.5393844128244657
