candidate_id,epoch,train_loss,val_loss,val_accuracy,macro_f1,weighted_f1
dedupe_non_conflicting_literals,1,2.909815973803649,2.2259772955066097,0.422992700729927,0.18943813356532752,0.3349955828927962
dedupe_non_conflicting_literals,2,2.039334034963809,1.7545176676590077,0.5,0.30962799777855116,0.43455352587398965
dedupe_non_conflicting_literals,3,1.65115467867437,1.5509873722591538,0.531021897810219,0.3511911000596398,0.47439506949422994
dedupe_non_conflicting_literals,4,1.4267613399491512,1.4606012979563134,0.5361313868613139,0.39775924695108494,0.4970754494561506
dedupe_non_conflicting_literals,5,1.2526844674690374,1.4016642438234204,0.5481751824817518,0.4468245186292676,0.5277040835296428
dedupe_non_conflicting_literals,6,1.1273537162491662,1.366652164320006,0.5562043795620438,0.4558553358648331,0.5235445065300146
dedupe_non_conflicting_literals,7,1.0203232771147202,1.344397648407595,0.5686131386861314,0.4816478629114776,0.5491498480063064
dedupe_non_conflicting_literals,8,0.9315046454974332,1.33879247842914,0.5525547445255474,0.46889594116997724,0.534459194815281
dedupe_non_conflicting_literals,9,0.8616273504087973,1.3526080644913834,0.5591240875912409,0.4855079409112957,0.5423987156862919
dedupe_non_conflicting_literals,10,0.7939728812237103,1.359707739057332,0.5572992700729927,0.48787146436826884,0.5450731568454238
dedupe_non_conflicting_literals,11,0.7420519024519294,1.3822487799790655,0.5602189781021898,0.4946599145616635,0.5470959233104277
dedupe_non_conflicting_literals,12,0.6923560154636333,1.4150518829805137,0.5565693430656934,0.4909355917325673,0.5449971164272693
dedupe_non_conflicting_literals,13,0.6534540842288964,1.4312999055333382,0.5547445255474452,0.4918352526135592,0.5425956952716043
dedupe_non_conflicting_literals,14,0.6214436173218676,1.4558936688151674,0.5441605839416058,0.48382004803936457,0.5343266359055244
dedupe_non_conflicting_literals,15,0.5834969622921371,1.496469915522276,0.5434306569343066,0.47809298186730737,0.5314850298228698
dedupe_non_conflicting_literals,16,0.5551301017265884,1.5019250335484526,0.5452554744525547,0.48913578894600135,0.538023453907357
dedupe_non_conflicting_literals,17,0.5269527156780476,1.5701686462346656,0.5456204379562044,0.48045361221152244,0.5339224635578388
