epoch,candidate_id,train_loss,val_loss,val_accuracy,macro_f1,weighted_f1
1,c_recommended_32_lr2e5_warmup006_clip,3.482657402623309,3.2429616545238633,0.16970802919708028,0.0189981838894067,0.07493416179832309
2,c_recommended_32_lr2e5_warmup006_clip,2.9621710853855103,2.470997947149903,0.36715328467153285,0.1547757813049579,0.28778488107697475
3,c_recommended_32_lr2e5_warmup006_clip,2.256105449599941,1.9148012140371504,0.4726277372262774,0.25111856686969924,0.3921567029523143
4,c_recommended_32_lr2e5_warmup006_clip,1.8159602142598508,1.6509267037802369,0.5200729927007299,0.32656338791624073,0.4527538779278273
5,c_recommended_32_lr2e5_warmup006_clip,1.554073458344397,1.5281587470186888,0.5339416058394161,0.3658246617364357,0.4923835981211915
6,c_recommended_32_lr2e5_warmup006_clip,1.3718168196016856,1.4418358275490086,0.545985401459854,0.39932098963532586,0.5044653452993293
7,c_recommended_32_lr2e5_warmup006_clip,1.2285025189392758,1.4163466145522403,0.5562043795620438,0.44739987969918793,0.5251434942035973
8,c_recommended_32_lr2e5_warmup006_clip,1.1152843151649419,1.3657734260071803,0.5525547445255474,0.4600928258893846,0.5282080703911344
9,c_recommended_32_lr2e5_warmup006_clip,1.023935689021201,1.3797681617040705,0.558029197080292,0.4697859492337792,0.5360458449519099
10,c_recommended_32_lr2e5_warmup006_clip,0.9483160762021141,1.3551714531696626,0.5620437956204379,0.47662098497597083,0.541164885476921
11,c_recommended_32_lr2e5_warmup006_clip,0.8866374767609756,1.360710989819826,0.5598540145985401,0.4870964129954485,0.5408950043594863
12,c_recommended_32_lr2e5_warmup006_clip,0.8356409470530322,1.364990061216981,0.560948905109489,0.487922383360446,0.5435673237686236
13,c_recommended_32_lr2e5_warmup006_clip,0.7810532477650329,1.3705359570301363,0.5645985401459854,0.49415079332820633,0.5490539680917063
14,c_recommended_32_lr2e5_warmup006_clip,0.7381987441195189,1.380385676265633,0.5492700729927007,0.48559242711643247,0.5387206808014784
15,c_recommended_32_lr2e5_warmup006_clip,0.7008325773434048,1.402692455618921,0.5572992700729927,0.48746720490878903,0.5467393668293762
16,c_recommended_32_lr2e5_warmup006_clip,0.6574555628491144,1.428768628705157,0.5558394160583942,0.4898453885173665,0.5458461206713999
17,c_recommended_32_lr2e5_warmup006_clip,0.6368706486520976,1.461338535538555,0.5478102189781022,0.48847336001644526,0.541921675749296
18,c_recommended_32_lr2e5_warmup006_clip,0.5975559205904494,1.481923158325418,0.5434306569343066,0.4824222314595161,0.5365479922997606
19,c_recommended_32_lr2e5_warmup006_clip,0.5825617023628124,1.4985257327991681,0.5430656934306569,0.47926048949453814,0.5329846672232118
20,c_recommended_32_lr2e5_warmup006_clip,0.557988871797158,1.4961954631944643,0.5489051094890511,0.4925088586714998,0.54473764862802
21,c_recommended_32_lr2e5_warmup006_clip,0.5395220998429904,1.521774358993029,0.5474452554744526,0.4886048130761199,0.5443290426964988
22,c_recommended_32_lr2e5_warmup006_clip,0.5183905102040646,1.5559554441131815,0.5405109489051095,0.48021039128914783,0.5366776155877044
23,c_recommended_32_lr2e5_warmup006_clip,0.5014756528130413,1.5844096695419645,0.5339416058394161,0.47256033412433635,0.5282535647630344
