epoch,train_loss,val_loss,val_accuracy,macro_f1,weighted_f1
1,2.9148136911601044,2.23290091326637,0.42664233576642335,0.1954925434184302,0.3428031554496237
2,2.0298119900000358,1.7413657943697742,0.4989051094890511,0.2990438067896514,0.4318544308224861
3,1.6353048818824936,1.540766656137731,0.5299270072992701,0.3523586800054541,0.47535359798524635
4,1.4013317055945849,1.439614762180913,0.5386861313868613,0.3887739333960274,0.4927805360172693
5,1.2345499169217409,1.3903826555196386,0.5518248175182482,0.44745409777761214,0.5282707325933719
6,1.1052342599325806,1.3497621670256565,0.5605839416058395,0.46661702817005746,0.5363042871872316
7,0.9958512173951978,1.3456623543788047,0.5605839416058395,0.4718904258925965,0.5383235455348744
8,0.9101422295953235,1.3327763964659975,0.5521897810218979,0.4854903138565627,0.5377854762571241
9,0.8372187467387123,1.3726467268310325,0.5594890510948906,0.49529615911683933,0.5463788717151237
10,0.7787382284220118,1.3667167052735378,0.5645985401459854,0.49656689039778307,0.5495406105287156
11,0.7252041080572309,1.3853260257818403,0.5613138686131387,0.4965057582337089,0.5507224368460618
12,0.6814300893867102,1.4016439709350141,0.5602189781021898,0.49721609746479395,0.5507938095984839
13,0.6358997774820259,1.432799624874644,0.5631386861313868,0.49416428554435066,0.5527197002871653
14,0.6040739747729614,1.4490206340803717,0.541970802919708,0.4844232241701911,0.5385136929034167
15,0.5688113364860089,1.4905002677527657,0.5481751824817518,0.48804982778782524,0.5433225985425093
16,0.5374625020653662,1.5270172736940593,0.5474452554744526,0.4867542338909197,0.5402720522294658
17,0.521421731475496,1.5570927231851286,0.5452554744525547,0.4903378995566614,0.5421654537691976
18,0.4903255746312385,1.5940552316442893,0.5437956204379562,0.4878450412012293,0.5395586730760686
19,0.4769351155218417,1.5994570963574153,0.5448905109489051,0.4808042747717534,0.5373827834700005
20,0.4644380339740837,1.6339317704639296,0.5412408759124088,0.4924860978277466,0.538257489811524
