epoch,candidate_id,train_loss,val_loss,val_accuracy,macro_f1,weighted_f1
1,b_lr3e5_dropout2,3.1823346205055714,2.6520635187625885,0.2841796875,0.0704938074288807,0.17831746057570527
2,b_lr3e5_dropout2,2.465726062655449,2.1956005096435547,0.4111328125,0.20016003539618477,0.31831728762217226
3,b_lr3e5_dropout2,2.0975341107696295,2.01424128562212,0.4482421875,0.23158251720088766,0.3605815275476959
4,b_lr3e5_dropout2,1.9269131813198328,1.9494189843535423,0.4658203125,0.2606760414106327,0.38978769375402994
