candidate_id,epoch,train_loss,val_loss,val_accuracy,macro_f1,weighted_f1
focal_gamma2,1,2.6336681672256357,1.8824258456264968,0.4291970802919708,0.20126718965992518,0.3486895786557179
focal_gamma2,2,1.626280307247691,1.330602126225938,0.502919708029197,0.3140136916253438,0.4397901315046603
focal_gamma2,3,1.1977669940377673,1.1124640946840718,0.5149635036496351,0.38282519864566517,0.4866045863977217
focal_gamma2,4,0.9680065045391556,1.0129971037815957,0.531021897810219,0.40446492166161835,0.495354413706569
focal_gamma2,5,0.8061697047992344,0.9497534221106202,0.5416058394160584,0.4140766070423273,0.5079605779584441
focal_gamma2,6,0.6907571284440313,0.9042725180187364,0.5456204379562044,0.45936530994882435,0.5220278807505225
focal_gamma2,7,0.5980434312437573,0.8903069710209421,0.5489051094890511,0.46380652637342595,0.5222662212285056
focal_gamma2,8,0.5297165025324717,0.8920613473349244,0.5518248175182482,0.48626992512472644,0.5324853446065023
focal_gamma2,9,0.4770390949980186,0.8771155115461697,0.5521897810218979,0.485159877580271,0.5381195502717452
focal_gamma2,10,0.4282541139282449,0.8774193650614606,0.5536496350364963,0.4811456711673009,0.5361350536522163
focal_gamma2,11,0.3857078562252713,0.8786537168669875,0.5554744525547445,0.492845903046953,0.5423962078956412
focal_gamma2,12,0.35405710613640556,0.8995417878575569,0.5434306569343066,0.4859871325856812,0.5366233990532397
focal_gamma2,13,0.3325277627384576,0.8956656938051656,0.5394160583941606,0.48109955847164,0.5311041339662631
focal_gamma2,14,0.3062191056944158,0.9093053304365951,0.5551094890510949,0.5007442550214333,0.5433227516853399
focal_gamma2,15,0.2846410226212801,0.9201986081408758,0.5467153284671533,0.5026884736984416,0.5403515982060669
focal_gamma2,16,0.26848006492113546,0.924825513797955,0.5357664233576642,0.48725442389793927,0.5291385918017923
focal_gamma2,17,0.2579689316505933,0.9247729266647005,0.5437956204379562,0.49971912137869584,0.5418905063256042
focal_gamma2,18,0.2405130653920835,0.9457901448228934,0.5346715328467153,0.4852416746058348,0.5326115831833368
focal_gamma2,19,0.23187352917055143,0.9684453014039646,0.5386861313868613,0.49605448991426926,0.536844575037188
focal_gamma2,20,0.21784813143041012,0.9828427264290135,0.5437956204379562,0.49344932057214447,0.5344864601735391
focal_gamma2,21,0.2132658829436685,0.9856885380988574,0.5321167883211679,0.48150550013081184,0.5277865996816589
